PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
1,0.8273772438659699,0,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,0,-0.5024451714361923,0,0
2,-1.5661069258891576,1,0.6638610320657843,0.4327933656785018,-0.4736736092984604,1,0.7868452935884461,1,1
3,0.8273772438659699,1,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,2,-0.4888542575852486,0,1
4,-1.5661069258891576,1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,3,0.4207302360686478,0,1
5,0.8273772438659699,0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,4,-0.4863374216869257,0,0
6,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,5,-0.47811642890864375,2,0
7,-1.5661069258891576,0,1.893458525206443,-0.47454519624983954,-0.4736736092984604,6,0.395813560675251,0,0
8,0.8273772438659699,0,-2.1027333275006983,2.2474704895351842,0.7676298785983874,7,-0.22408312108167944,0,0
9,0.8273772438659699,1,-0.1814872444684187,-0.47454519624983954,2.0089333664952354,8,-0.4242561406845337,0,1
10,-0.3693648410115938,1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,9,-0.04295550208861426,1,1
11,0.8273772438659699,1,-1.949033640858116,0.4327933656785018,0.7676298785983874,10,-0.312172377522981,0,1
12,-1.5661069258891576,1,2.200857898491608,-0.47454519624983954,-0.4736736092984604,11,-0.11384570873513637,0,1
13,0.8273772438659699,0,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,12,-0.4863374216869257,0,0
14,0.8273772438659699,0,0.7407108753870755,0.4327933656785018,5.73284383018578,13,-0.01870931177853076,0,0
15,0.8273772438659699,1,-1.180535207645204,-0.47454519624983954,-0.4736736092984604,14,-0.4902797934380587,0,0
16,-0.3693648410115938,1,1.9703083685277343,-0.47454519624983954,-0.4736736092984604,15,-0.3262666585535892,0,1
17,0.8273772438659699,0,-2.1027333275006983,3.1548090514635256,0.7676298785983874,16,-0.06199888922968463,2,0
18,-0.3693648410115938,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,17,-0.3866707201133388,0,1
19,0.8273772438659699,1,0.12591212881674602,0.4327933656785018,-0.4736736092984604,18,-0.2859972841804228,0,0
20,0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,19,-0.5029485386158568,1,1
21,-0.3693648410115938,0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,20,-0.12491978668775715,0,0
22,-0.3693648410115938,0,0.35646165878061953,-0.47454519624983954,-0.4736736092984604,21,-0.3866707201133388,0,1
23,0.8273772438659699,1,-1.1036853643239128,-0.47454519624983954,-0.4736736092984604,22,-0.4867562231804066,2,1
24,-1.5661069258891576,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,23,0.06635974158478332,0,1
25,0.8273772438659699,1,-1.6416342675729512,2.2474704895351842,0.7676298785983874,7,-0.22408312108167944,0,0
26,0.8273772438659699,1,0.6638610320657843,0.4327933656785018,5.73284383018578,24,-0.016444159470040135,0,1
27,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,25,-0.5029485386158568,1,0
28,-1.5661069258891576,0,-0.7962859910387481,2.2474704895351842,2.0089333664952354,26,4.647001076532463,0,0
29,0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,27,-0.48977642625839407,2,1
30,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,28,-0.4894421904510968,0,0
